,company_name,ticker,exchange,share_price,shares_offered,dollar_value_of_shares,date_of_priced,href,employees,shares_outstanding,stock_valuation,company_address,phone
606,"Clearside Biomedical, Inc.",CLSD,Nasdaq National Market,7.0,"7,200,000","$50,400,000",2016-06-02,/market-activity/ipos/overview?dealId=871449-80135,22,"19,592,708",137148956.0,900 NORTH POINT PARKWAY SUITE 200  ALPHARETTA GA 30005,678-270-3631
607,"Sensus Healthcare, Inc.",SRTSU,Nasdaq SmallCap Market,5.5,"2,000,000","$11,000,000",2016-06-03,/market-activity/ipos/overview?dealId=832198-80325,28,"12,675,707",69716388.5,851 BROKEN SOUND PARKWAY NW SUITE 215  BOCA RATON FL 33487,561-922-5808
608,Atkore Inc.,ATKR,New York Stock Exchange,16.0,"12,000,000","$192,000,000",2016-06-10,/market-activity/ipos/overview?dealId=988705-80469,3200,"62,458,367",999333872.0,16100 SOUTH LATHROP AVENUE   HARVEY IL 60426,(708) 339-1610
609,China Online Education Group,COE,New York Stock Exchange,19.0,"2,400,000","$45,600,000",2016-06-10,/market-activity/ipos/overview?dealId=994453-80886,1586,"19,665,710",373648490.0,"6TH FLOOR DESHI BUILDING SOUTH SHANGDI STREET, HAIDIAN DISTRICT  BEIJING  100085",8610-56928909
610,"VIVEVE MEDICAL, INC.",VIVE,Nasdaq SmallCap Market,5.0,"2,700,000","$13,500,000",2016-06-14,/market-activity/ipos/overview?dealId=7728-80738,23,"10,201,919",51009595.0,"345 INVERNESS DRIVE SOUTH BUILDING B, SUITE 250  ENGLEWOOD CO 80112",4085301900
611,Paragon Commercial CORP,PBNC,Nasdaq SmallCap Market,34.0,"736,000","$25,024,000",2016-06-16,/market-activity/ipos/overview?dealId=758748-80980,148,"5,339,309",181536506.0,3535 Glenwood Avenue   Raleigh NC 27612,(919) 788-7770
612,SELECTA BIOSCIENCES INC,SELB,Nasdaq National Market,14.0,"5,000,000","$70,000,000",2016-06-22,/market-activity/ipos/overview?dealId=795595-80972,54,"17,899,586",250594204.0,65 GROVE STREET   WATERTOWN MA 02472,617-923-1400
613,TWILIO INC,TWLO,New York Stock Exchange,15.0,"10,000,000","$150,000,000",2016-06-23,/market-activity/ipos/overview?dealId=789817-80982,567,"10,000,000",150000000.0,375 BEALE ST SUITE 300  San Francisco CA 94105,650-270-2199
614,"Syros Pharmaceuticals, Inc.",SYRS,Nasdaq National Market,12.5,"4,000,000","$50,000,000",2016-06-30,/market-activity/ipos/overview?dealId=888137-81033,49,"22,760,161",284502012.5,35 CAMBRIDGE PARK DRIVE   CAMBRIDGE MA 02140,617-744-1340
615,"9 METERS BIOPHARMA, INC.",MSDI,Nasdaq SmallCap Market,4.5,"2,025,000","$9,112,500",2016-07-08,/market-activity/ipos/overview?dealId=884171-79786,20,"7,339,050",33025725.0,8480 HONEYCUTT ROAD SUITE 120  RALEIGH NC 27615,919-275-1933
616,LINE Corp,LN,New York Stock Exchange,32.84,"35,000,000","$1,149,400,000",2016-07-14,/market-activity/ipos/overview?dealId=996550-81092,2537,"209,992,000",6896137280.000001,"JR SHINJUKU MIRAINA TOWER, 23RD FLOOR 4-1-6 SHINJUKU  SHINJUKU-KU, TOKYO  160-0022",(81) 3-4316-2050
617,"AdvancePierre Foods Holdings, Inc.",APFH,New York Stock Exchange,21.0,"18,600,000","$390,600,000",2016-07-15,/market-activity/ipos/overview?dealId=991835-80683,4000,"78,586,202",1650310242.0,9987 CARVER ROAD   BLUE ASH OH 45242,(800) 969-2747
618,"Audentes Therapeutics, Inc.",BOLD,Nasdaq National Market,15.0,"5,000,000","$75,000,000",2016-07-20,/market-activity/ipos/overview?dealId=953394-80103,76,"21,020,378",315305670.0,"600 CALIFORNIA ST., 17TH FLOOR   SAN FRANCISCO CA 94108",415-638-6556
619,IMPINJ INC,PI,Nasdaq National Market,14.0,"4,800,000","$67,200,000",2016-07-21,/market-activity/ipos/overview?dealId=164589-81026,208,"17,810,000",249340000.0,400 FAIRVIEW AVENUE NORTH SUITE 1200  SEATTLE WA 98109,206-517-5300
620,Patheon N.V.,PTHN,New York Stock Exchange,21.0,"29,761,905","$625,000,005",2016-07-21,/market-activity/ipos/overview?dealId=967346-78621,8800,"140,609,756",2952804876.0,EVERT VAN DE BEEKSTRAAT 104   AMSTERDAM SCHIPHOL  1118 CN,31 (20) 622-3243
621,"TPI COMPOSITES, INC",TPIC,Nasdaq National Market,11.0,"6,250,000","$68,750,000",2016-07-22,/market-activity/ipos/overview?dealId=797314-81150,6000,"32,799,363",360792993.0,"8501 N SCOTTSDALE ROAD GAINEY CENTER II, SUITE 100  SCOTTSDALE AZ 85253",480-305-8910
622,"Kadmon Holdings, Inc.",KDMN,New York Stock Exchange,12.0,"6,250,000","$75,000,000",2016-07-27,/market-activity/ipos/overview?dealId=888674-81089,138,"44,870,332",538443984.0,450 EAST 29TH STREET   NEW YORK NY 10016,833-900-5366
623,"Kinsale Capital Group, Inc.",KNSL,Nasdaq National Market,16.0,"6,600,000","$105,600,000",2016-07-28,/market-activity/ipos/overview?dealId=998260-81254,145,"20,968,707",335499312.0,"2035 MAYWILL STREET, SUITE 100   RICHMOND VA 23230",(804) 289-1300
624,TACTILE SYSTEMS TECHNOLOGY INC,TCMD,Nasdaq National Market,10.0,"4,000,000","$40,000,000",2016-07-28,/market-activity/ipos/overview?dealId=111659-80227,275,"16,649,017",166490170.0,1331 TYLER STREET NE STE 200   MINNEAPOLIS MN 55413,866-435-3948
625,Cellect Biotechnology Ltd.,APOP,Nasdaq SmallCap Market,6.5,"1,292,308","$8,400,002",2016-07-29,/market-activity/ipos/overview?dealId=998577-81264,14,5379174.25,3496463262.5,23 HATA'AS STREET   KFAR SABA  44425,97299741444
626,Long Blockchain Corp.,LTEA,Nasdaq SmallCap Market,5.5,"1,818,182","$10,000,001",2016-07-29,/market-activity/ipos/overview?dealId=954164-80677,29,"7,764,980",42707390.0,12-1 DUBON COURT   FARMINGDALE NY 11735,(855) 542-2832
627,Talend S.A.,TLND,Nasdaq National Market,18.0,"5,250,000","$94,500,000",2016-07-29,/market-activity/ipos/overview?dealId=997830-81213,566,"5,250,000",94500000.0,"5-7, RUE SALOMON DE ROTHSCHILD   SURESNES  92150",650-539-3200
628,At Home Group Inc.,HOME,New York Stock Exchange,15.0,"8,667,000","$130,005,000",2016-08-04,/market-activity/ipos/overview?dealId=974579-79327,2941,"59,503,727",892555905.0,AT HOME GROUP INC. 1600 EAST PLANO PARKWAY  PLANO TX 75074,(972) 265-6227
629,"FIRST HAWAIIAN, INC.",FHB,Nasdaq National Market,23.0,"21,086,957","$485,000,011",2016-08-04,/market-activity/ipos/overview?dealId=13300-81280,2250,"139,459,620",3207571260.0,999 BISHOP STREET   HONOLULU HI 96813,808-525-7000
630,Atomera Inc,ATMR,Nasdaq SmallCap Market,7.5,"3,200,000","$24,000,000",2016-08-05,/market-activity/ipos/overview?dealId=764116-81236,12,"11,323,226",84924195.0,750 UNIVERSITY AVENUE SUITE 280  LOS GATOS CA 95032,408-442-5248
631,"Medpace Holdings, Inc.",MEDP,Nasdaq National Market,23.0,"7,000,000","$161,000,000",2016-08-11,/market-activity/ipos/overview?dealId=997644-81198,2300,"39,642,113",911768599.0,5375 MEDPACE WAY   CINCINNATI OH 45227,(513) 579-9911
632,"Protagonist Therapeutics, Inc",PTGX,Nasdaq National Market,12.0,"7,500,000","$90,000,000",2016-08-11,/market-activity/ipos/overview?dealId=722378-81285,29,"16,323,551",195882612.0,"7707 GATEWAY BLVD., SUITE 140   NEWARK CA 94560-1160",(510) 474-0170
633,AIRGAIN INC,AIRG,Nasdaq SmallCap Market,8.0,"1,500,000","$12,000,000",2016-08-12,/market-activity/ipos/overview?dealId=609696-81314,48,"7,237,615",57900920.0,3611 VALLEY CENTRE DRIVE SUITE 150  SAN DIEGO CA 92130,(760) 579-0200
634,"EVERBRIDGE, INC.",EVBG,NASDAQ Global,12.0,"7,500,000","$90,000,000",2016-09-16,/market-activity/ipos/overview?dealId=780521-81530,430,"26,923,604",323083248.0,25 CORPORATE DRIVE SUITE 400  BURLINGTON MA 01803,818-230-9700
635,Bank of N.T. Butterfield & Son Ltd,NTB,NYSE,23.5,"10,638,298","$250,000,003",2016-09-16,/market-activity/ipos/overview?dealId=1000738-81421,1088,"53,250,700",1251391450.0,65 FRONT STREET   HAMILTON  HM 12,441-295-1111
636,FB Financial Corp,FBK,NYSE,19.0,"5,882,352","$111,764,688",2016-09-16,/market-activity/ipos/overview?dealId=1001870-81527,1038,"23,102,352",438944688.0,211 COMMERCE STREET SUITE 300  NASHVILLE TN 37201,615-313-0080
637,"Novan, Inc.",NOVN,NASDAQ Global,11.0,"4,100,000","$45,100,000",2016-09-21,/market-activity/ipos/overview?dealId=807789-81553,63,"15,323,659",168560249.0,4105 HOPSON ROAD   MORRISVILLE NC 27560,919-485-8080
638,"Trade Desk, Inc.",TTD,NASDAQ Global,18.0,"4,666,667","$84,000,006",2016-09-21,/market-activity/ipos/overview?dealId=1001950-81540,387,"4,666,767",84001806.0,42 N. CHESTNUT STREET   VENTURA CA 93001,(805) 585-3434
639,"CapStar Financial Holdings, Inc.",CSTR,NASDAQ Global Select,15.0,"2,585,000","$38,775,000",2016-09-22,/market-activity/ipos/overview?dealId=1002364-81581,166,"10,795,871",161938065.0,"1201 DEMONBREUN STREET, SUITE 700 SUITE 700  NASHVILLE TN 37203",(615) 732-6400
640,"e.l.f. Beauty, Inc.",ELF,NYSE,17.0,"8,333,333","$141,666,661",2016-09-22,/market-activity/ipos/overview?dealId=927387-81567,231,"44,379,833",754457161.0,570 10TH STREET   OAKLAND CA 94607,(510) 778-7787
641,Gridsum Holding Inc.,GSUM,NASDAQ Global Select,13.0,"6,700,000","$87,100,000",2016-09-23,/market-activity/ipos/overview?dealId=1002290-81570,868,"6,700,000",87100000.0,"8TH FLOOR, JADE PALACE HOTEL OFFICE BLDG 76 ZHICHUN ROAD, HAIDAN DISTRICT  BEIJING  100000",86-10-8261-9988
642,AC Immune SA,ACIU,NASDAQ Global,11.0,"6,000,000","$66,000,000",2016-09-23,/market-activity/ipos/overview?dealId=995734-81000,62,"55,396,042",609356462.0,"EPFL INNOVATION PARK, BUILDING B   1015 LAUSANNE  00000",41 21 345 91 21
643,Apptio Inc,APTI,NASDAQ Global,16.0,"6,000,000","$96,000,000",2016-09-23,/market-activity/ipos/overview?dealId=763438-81568,694,"6,000,000",96000000.0,11100 NE 8TH STREET SUITE 600  BELLEVUE WA 98004,425-453-5861
644,VALVOLINE INC,VVV,NYSE,22.0,"30,000,000","$660,000,000",2016-09-23,/market-activity/ipos/overview?dealId=995763-81002,5050,"200,000,000",4400000000.0,100 VALVOLINE WAY   LEXINGTON KY 40509,859-357-2591
645,"SHINECO, INC.",TYHT,NASDAQ Capital,4.5,"1,713,190","$7,709,355",2016-09-28,/market-activity/ipos/overview?dealId=647449-77894,393,"21,098,660",94943970.0,"ROOM 1001, BUILDING T5, DAZU SQUARE, DAXING DISTRICT  BEIJING  10022",(86) 10-87227366
646,"MedEquities Realty Trust, Inc.",MRT,NYSE,12.0,"19,925,333","$239,103,996",2016-09-29,/market-activity/ipos/overview?dealId=942036-79230,11,"30,250,010",363000120.0,3100 WEST END AVENUE SUITE 1000  NASHVILLE TN 37203,(615) 324-7822
647,"Tabula Rasa HealthCare, Inc.",TRHC,NASDAQ Global,12.0,"4,300,000","$51,600,000",2016-09-29,/market-activity/ipos/overview?dealId=983094-80108,204,"15,584,558",187014696.0,228 STRAWBRIDGE DRIVE SUITE 100  MOORESTOWN NJ 08057,866-648-2767
648,"Fulgent Genetics, Inc.",FLGT,NASDAQ Global,9.0,"4,200,000","$37,800,000",2016-09-29,/market-activity/ipos/overview?dealId=1002718-81621,55,"17,046,256",153416304.0,"4978 SANTA ANITA AVENUE, SUITE 205   TEMPLE CITY CA 91780",626-350-0537
649,"Nutanix, Inc.",NTNX,NASDAQ Global Select,16.0,"14,870,000","$237,920,000",2016-09-30,/market-activity/ipos/overview?dealId=944166-80050,1980,"14,870,000",237920000.0,1740 TECHNOLOGY DRIVE SUITE 150  SAN JOSE CA 95110,408-216-8360
650,GDS Holdings Ltd,GDS,NASDAQ Global,10.0,"19,250,000","$192,500,000",2016-11-02,/market-activity/ipos/overview?dealId=1004950-81839,573,"19,250,000",192500000.0,"F4/F5, BUILDING C, SUNLAND INTERNATIONAL NO. 999 ZHOUHAI ROAD, PUDONG,  SHANGHAI  200137",86-21-2029-2200
651,"Smart Sand, Inc.",SND,NASDAQ Global Select,11.0,"11,700,000","$128,700,000",2016-11-04,/market-activity/ipos/overview?dealId=864559-81736,97,"34,238,712",376625832.0,1725 HUGHES LANDING BOULEVARD SUITE 800  THE WOODLANDS TX 77380,(281) 231-2660
652,"Polar Power, Inc.",POLA,NASDAQ Capital,7.0,"2,400,000","$16,800,000",2016-12-07,/market-activity/ipos/overview?dealId=947938-81674,103,"9,783,158",68482106.0,249 E. GARDENA BOULEVARD   GARDENA CA 90248,310-830-9153
653,"SenesTech, Inc.",SNES,NASDAQ Capital,8.0,"1,875,000","$15,000,000",2016-12-08,/market-activity/ipos/overview?dealId=1003944-81751,27,"10,128,586",81028688.0,3140 N. CADEN COURT SUITE 1  FLAGSTAFF AZ 86004,(928) 779 - 4143
654,"ICHOR HOLDINGS, LTD.",ICHR,NASDAQ Global Select,9.0,"5,877,778","$52,900,002",2016-12-09,/market-activity/ipos/overview?dealId=1008256-82088,530,23727787,213550083.0,3185 LAURELVIEW CT.   FREMONT CA 94538,510-897-5200
655,Athene Holding Ltd,ATH,NYSE,40.0,"27,000,000","$1,080,000,000",2016-12-09,/market-activity/ipos/overview?dealId=861631-80855,1360,"74,816,116",2992644640.0,"SECOND FLOOR, WASHINGTON HOUSE 16 CHURCH STREET  HAMILTON  HM 11",441-279-8400
656,"Brazos Valley Longhorn, L.L.C.",WRD,NYSE,15.0,"27,500,000","$412,500,000",2016-12-14,/market-activity/ipos/overview?dealId=1008177-82078,61,"91,327,107",1369906605.0,6100 N WESTERN AVENUE   OKLAHOMA CITY OK 73118,4058488000
657,TiGenix NV,TIG,NASDAQ Global Select,15.5,"2,300,000","$35,650,000",2016-12-15,/market-activity/ipos/overview?dealId=911400-80044,74,12415229,192436049.5,"ROMEINSE STRAAT 12 BOX 2, 3001   LEUVEN  0000000",34918060946
658,trivago N.V.,TRVG,NASDAQ Global Select,11.0,"26,110,118","$287,211,298",2016-12-16,/market-activity/ipos/overview?dealId=1008287-82089,1183,"30,026,635",330292985.0,KESSELSTRASSE 5 - 7   DUSSELDORF  40221,4921154065110
659,"Nisun International Enterprise Development Group Co., Ltd",HEBT,NASDAQ Capital,4.0,"5,000,000","$20,000,000",2016-12-27,/market-activity/ipos/overview?dealId=981769-80004,87,"17,000,000",68000000.0,"C9, 99 DANBA RD, PUTUO DISTRICT   SHANGHAI  00000",86 0577 8689 5678
660,Invitation Homes Inc.,INVH,NYSE,20.0,"77,000,000","$1,540,000,000",2017-02-01,/market-activity/ipos/overview?dealId=1011996-82545,907,"302,116,760",6042335200.0,"1717 MAIN STREET, SUITE 2000   DALLAS TX 75201",(972) 421-3600
661,"LAUREATE EDUCATION, INC.",LAUR,NASDAQ Global Select,14.0,"35,000,000","$490,000,000",2017-02-01,/market-activity/ipos/overview?dealId=3789-79506,67800,"35,000,000",490000000.0,650 S. EXETER STREET   BALTIMORE MD 21202,4108436100
662,"Ramaco Resources, Inc.",METC,NASDAQ Global Select,13.5,"6,000,000","$81,000,000",2017-02-03,/market-activity/ipos/overview?dealId=1011485-82493,46,"39,062,576",527344776.0,250 WEST MAIN STREET SUITE 210  LEXINGTON KY 40507,(859) 244-7455
663,"Foundation Building Materials, Inc.",FBM,NYSE,14.0,"12,800,000","$179,200,000",2017-02-10,/market-activity/ipos/overview?dealId=1012734-82595,3401,"42,774,239",598839346.0,2520 RED HILL AVE.   SANTA ANA CA 92705,(657) 900-3157
664,Clipper Realty Inc.,CLPR,NYSE,13.5,"5,700,000","$76,950,000",2017-02-10,/market-activity/ipos/overview?dealId=972131-81856,180,"17,012,755",229672192.5,"4611 12TH AVENUE, SUITE 1L   BROOKLYN NY 11219",718-438-2804
665,Hamilton Lane INC,HLNE,NASDAQ Global Select,16.0,"11,875,000","$190,000,000",2017-03-01,/market-activity/ipos/overview?dealId=1014270-82705,290,"17,070,505",273128080.0,ONE PRESIDENTIAL BOULEVARD 4TH FLOOR  BALA CYNWYD PA 19004,610-934-2222
666,Snap Inc,SNAP,NYSE,17.0,"200,000,000","$3,400,000,000",2017-03-02,/market-activity/ipos/overview?dealId=899497-82723,1859,"661,834,416",11251185072.0,2772 DONALD DOUGLAS LOOP NORTH  SANTA MONICA CA 90405,(310) 399-3339
667,"J.Jill, Inc.",JILL,NYSE,13.0,"11,666,667","$151,666,671",2017-03-09,/market-activity/ipos/overview?dealId=1015222-82780,3801,"43,747,944",568723272.0,4 BATTERYMARCH PARK   QUINCY MA 02169,617-376-4300
668,BeyondSpring Inc.,BYSI,NASDAQ Capital,20.0,"174,286","$3,485,720",2017-03-09,/market-activity/ipos/overview?dealId=1008377-82102,25,"21,707,925",434158500.0,28 LIBERTY STREET 39TH FLOOR  NEW YORK NY 10005,646-528-4184
669,"Presidio, Inc.",PSDO,NASDAQ Global Select,14.0,"16,666,666","$233,333,324",2017-03-10,/market-activity/ipos/overview?dealId=957998-82160,2800,"88,611,044",1240554616.0,ONE PENN PLAZA SUITE 2832  NEW YORK NY 10119,212-485-0513
670,Ardagh Group S.A.,ARD,NYSE,19.0,"16,200,000","$307,800,000",2017-03-15,/market-activity/ipos/overview?dealId=1008708-82123,23500,"16,200,000",307800000.0,56 RUE CHARLES MARTEL   LUXEMBOURG  L-2134,352 2625 8555
671,"MULESOFT, INC",MULE,NYSE,17.0,"13,000,000","$221,000,000",2017-03-17,/market-activity/ipos/overview?dealId=720052-82857,841,"13,000,000",221000000.0,77 GEARY ST. SUITE 400  SAN FRANCISCO CA 94108,415-229-2009
672,ProPetro Holding Corp.,PUMP,NYSE,14.0,"25,000,000","$350,000,000",2017-03-17,/market-activity/ipos/overview?dealId=999784-82763,642,"83,039,854",1162557956.0,"1706 S. MIDKIFF ROAD, BUILDING B   MIDLAND TX 79701",(432) 688-0012
673,Valeritas Holdings Inc.,VLRX,NASDAQ Capital,10.0,"5,250,000","$52,500,000",2017-03-23,/market-activity/ipos/overview?dealId=945087-82740,82,"6,889,585",68895850.0,750 ROUTE 202 SOUTH SUITE 600  BRIDGEWATER NJ 08807,908-927-9920
674,"Alteryx, Inc.",AYX,NYSE,14.0,"9,000,000","$126,000,000",2017-03-24,/market-activity/ipos/overview?dealId=1016440-82910,424,"9,000,000",126000000.0,3345 MICHELSON DRIVE SUITE 400  IRVINE CA 92612,(888) 836-4274
675,"Elevate Credit, Inc.",ELVT,NYSE,6.5,"12,400,000","$80,600,000",2017-04-06,/market-activity/ipos/overview?dealId=979137-79758,540,"39,499,745",256748342.5,4150 INTERNATIONAL PLAZA SUITE 300  FORT WORTH TX 76109,817-928-1500
676,"Schneider National, Inc.",SNDR,NYSE,19.0,"28,947,000","$549,993,000",2017-04-06,/market-activity/ipos/overview?dealId=1010944-82434,19300,"90,508,890",1719668910.0,3101 SOUTH PACKERLAND DRIVE   GREEN BAY WI 54313,920-592-2000
677,"Okta, Inc.",OKTA,NASDAQ Global Select,17.0,"11,000,000","$187,000,000",2017-04-07,/market-activity/ipos/overview?dealId=1017907-83083,898,"11,000,000",187000000.0,100 FIRST STREET SUITE 600  SAN FRANCISCO CA 94105,888-722-7871
678,Netshoes (Cayman) Ltd.,NETS,NYSE,18.0,"8,250,000","$148,500,000",2017-04-12,/market-activity/ipos/overview?dealId=893756-83115,2687,"31,025,936",558466848.0,RUA VERGUEIRO 961 LIBERDADE   SAO PAULO  01504-001,55-11-3028-3528
679,"Yext, Inc.",YEXT,NYSE,11.0,"10,500,000","$115,500,000",2017-04-13,/market-activity/ipos/overview?dealId=942127-83080,630,"85,489,470",940384170.0,61 NINTH AVENUE   NEW YORK NY 10011,1-888-444-2988
680,"WARRIOR MET COAL, INC.",HCC,NYSE,19.0,"16,666,667","$316,666,673",2017-04-13,/market-activity/ipos/overview?dealId=1017288-83019,1130,"53,442,532",1015408108.0,16243 HIGHWAY 216   BROOKWOOD AL 35444,205-554-6150
681,"Forte Biosciences, Inc.",TOCA,NASDAQ Global Select,10.0,"8,500,000","$85,000,000",2017-04-13,/market-activity/ipos/overview?dealId=762911-83049,61,"18,501,763",185017630.0,1124 W CARSON STREET MRL BUILDING 3-320  TORRANCE CA 90502,(310) 618-6994
682,Cadence Bancorporation,CADE,NYSE,20.0,"7,500,000","$150,000,000",2017-04-13,/market-activity/ipos/overview?dealId=1018447-83150,1193,"82,500,000",1650000000.0,2800 POST OAK BOULEVARD SUITE 3800   HOUSTON TX 77056,7138714000
683,"Select Energy Services, Inc.",WTTR,NYSE,14.0,"8,700,000","$121,800,000",2017-04-21,/market-activity/ipos/overview?dealId=1011376-82969,1700,"12,777,970",178891580.0,"1233 W LOOP SOUTH, SUITE 1400   HOUSTON TX 77027",(713) 235-9500
684,"Ontrak, Inc.",CATS,NASDAQ Capital,4.8,"3,125,000","$15,000,000",2017-04-26,/market-activity/ipos/overview?dealId=85191-82789,90,"15,570,964",74740627.2,2120 COLORADO AVE SUITE 230  SANTA MONICA CA 90404,310 444 4300
685,"Floor & Decor Holdings, Inc.",FND,NYSE,21.0,"8,823,500","$185,293,500",2017-04-27,/market-activity/ipos/overview?dealId=842788-82785,4391,"92,358,577",1939530117.0,"2500 WINDY RIDGE PARKWAY, SE   ATLANTA GA 30339",404-471-1634
686,Verona Pharma plc,VRNA,NASDAQ Global,13.5,"5,768,000","$77,868,000",2017-04-27,/market-activity/ipos/overview?dealId=999545-83296,12,"5,768,000",77868000.0,3 MORE LONDON RIVERSIDE   LONDON  SE1 2RE,011-44-0-2032834200
687,SOS Ltd,XRF,NYSE,6.0,"10,000,000","$60,000,000",2017-04-28,/market-activity/ipos/overview?dealId=693744-83265,3119,"10,000,000",60000000.0,"BLDG 6, E. SEAVIEW PARK, 298 HAIJING RD YINZHU STR.,  WEST COAST NEW DISTRICT  QINGDAO SHANDONG PROVINCE  266400",86-532-86617117
688,"Cloudera, Inc.",CLDR,NYSE,15.0,"15,000,000","$225,000,000",2017-04-28,/market-activity/ipos/overview?dealId=868926-83266,1470,"128,064,103",1920961545.0,395 PAGE MILL ROAD   PALO ALTO CA 94306,650 644 3950
689,Zymeworks Inc.,ZYME,NYSE,13.0,"4,500,000","$58,500,000",2017-04-28,/market-activity/ipos/overview?dealId=748312-83283,136,"24,924,461",324017993.0,540-1385 WEST 8TH AVENUE   Vancouver  V6H 3V9,(604) 678-1388
690,CARVANA CO.,CVNA,NYSE,15.0,"15,000,000","$225,000,000",2017-04-28,/market-activity/ipos/overview?dealId=1019626-83273,1067,"15,000,000",225000000.0,1930 W. RIO SALADO PARKWAY   TEMPE AZ 85281,(480) 719-8809
691,"NCS Multistage Holdings, Inc.",NCSM,NASDAQ Global Select,17.0,"9,500,000","$161,500,000",2017-04-28,/market-activity/ipos/overview?dealId=1017654-83051,197,"45,325,225",770528825.0,19350 STATE HIGHWAY 249 SUITE 600  HOUSTON TX 77070,281-453-2222
692,"Emerald Holding, Inc.",EEX,NYSE,17.0,"15,500,000","$263,500,000",2017-04-28,/market-activity/ipos/overview?dealId=909945-83277,430,"72,202,207",1227437519.0,31910 DEL OBISPO STREET SUITE 200  SAN JUAN CAPISTRANO CA 92675,949-226-5700
693,"AKCEA THERAPEUTICS, INC.",AKCA,NASDAQ Global Select,8.0,"15,625,000","$125,000,000",2017-07-14,/market-activity/ipos/overview?dealId=983023-83213,30,"64,197,879",513583032.0,22 BOSTON WHARF RD 9TH FLOOR  BOSTON MA 02210,617-207-0202
