,company_name,ticker,exchange,share_price,shares_offered,dollar_value_of_shares,date_of_priced,href
1373,"Pandion Therapeutics, Inc.",PAND,NASDAQ Global Select,18.0,"7,500,000","$135,000,000",2020-07-17,/market-activity/ipos/overview?dealId=1114295-92932
1374,Deerfield Healthcare Technology Acquisitions Corp.,DFHTU,NASDAQ Capital,10.0,"12,500,000","$125,000,000",2020-07-17,/market-activity/ipos/overview?dealId=1121197-92961
1375,"Berkeley Lights, Inc.",BLI,NASDAQ Global Select,22.0,"8,100,000","$178,200,000",2020-07-17,/market-activity/ipos/overview?dealId=1008371-92923
1376,"Pershing Square Tontine Holdings, Ltd.",PSTHU,NYSE,20.0,"200,000,000","$4,000,000,000",2020-07-22,/market-activity/ipos/overview?dealId=1120496-92857
1377,Property Solutions Acquisition Corp.,PSACU,NASDAQ Capital,10.0,"20,000,000","$200,000,000",2020-07-22,/market-activity/ipos/overview?dealId=1121306-92979
1378,Jamf Holding Corp.,JAMF,NASDAQ Global Select,26.0,"18,000,000","$468,000,000",2020-07-22,/market-activity/ipos/overview?dealId=1037257-92948
1379,"Montrose Environmental Group, Inc.",MEG,NYSE,15.0,"10,000,000","$150,000,000",2020-07-23,/market-activity/ipos/overview?dealId=967379-92951
1380,Skillful Craftsman Education Technology Ltd,EDTK,NASDAQ Capital,5.0,"3,000,000","$15,000,000",2020-07-23,/market-activity/ipos/overview?dealId=1115567-92220
1381,East Resources Acquisition Co,ERESU,NASDAQ Capital,10.0,"30,000,000","$300,000,000",2020-07-23,/market-activity/ipos/overview?dealId=1121432-93015
1382,"iTeos Therapeutics, Inc.",ITOS,NASDAQ Global,19.0,"10,586,316","$201,140,004",2020-07-24,/market-activity/ipos/overview?dealId=1114515-92896
1383,"Inozyme Pharma, Inc.",INZY,NASDAQ Global Select,16.0,"7,000,000","$112,000,000",2020-07-24,/market-activity/ipos/overview?dealId=1011886-92990
1384,Greencity Acquisition Corp,GRCYU,NASDAQ Capital,10.0,"4,000,000","$40,000,000",2020-07-24,/market-activity/ipos/overview?dealId=1120335-92834
1385,Ascendant Digital Acquisition Corp.,ACNDU,NYSE,10.0,"36,000,000","$360,000,000",2020-07-24,/market-activity/ipos/overview?dealId=1121329-92980
1386,"Annexon, Inc.",ANNX,NASDAQ Global Select,17.0,"14,750,000","$250,750,000",2020-07-24,/market-activity/ipos/overview?dealId=862369-93016
1387,"Nurix Therapeutics, Inc.",NRIX,NASDAQ Global,19.0,"11,000,000","$209,000,000",2020-07-24,/market-activity/ipos/overview?dealId=882030-92993
1388,ACE Convergence Acquisition Corp.,ACEVU,NASDAQ Capital,10.0,"20,000,000","$200,000,000",2020-07-28,/market-activity/ipos/overview?dealId=1121564-93035
1389,"Vertex, Inc.",VERX,NASDAQ Global,19.0,"21,150,000","$401,850,000",2020-07-29,/market-activity/ipos/overview?dealId=1121387-92995
1390,Churchill Capital Corp IV,CCIVU,NYSE,10.0,"180,000,000","$1,800,000,000",2020-07-30,/market-activity/ipos/overview?dealId=1122415-93105
1391,Li Auto Inc.,LI,NASDAQ Global Select,11.5,"95,000,000","$1,092,500,000.00",2020-07-30,/market-activity/ipos/overview?dealId=1122101-93076
1392,"Allovir, Inc.",ALVR,NASDAQ Global Select,17.0,"16,250,000","$276,250,000",2020-07-30,/market-activity/ipos/overview?dealId=1065716-93028
1393,Vasta Platform Ltd,VSTA,NASDAQ Global Select,19.0,"18,575,492","$352,934,348",2020-07-31,/market-activity/ipos/overview?dealId=1121456-93023
1394,"Vital Farms, Inc.",VITL,NASDAQ Global Select,22.0,"9,303,977","$204,687,494",2020-07-31,/market-activity/ipos/overview?dealId=909374-93058
1395,CC Neuberger Principal Holdings II,PRPBU,NYSE,10.0,"72,000,000","$720,000,000",2020-07-31,/market-activity/ipos/overview?dealId=1122558-93116
1396,NewHold Investment Corp.,NHICU,NASDAQ Capital,10.0,"15,000,000","$150,000,000",2020-07-31,/market-activity/ipos/overview?dealId=1122115-93083
1397,1847 Goedeker Inc.,GOED,NYSE MKT,9.0,"1,111,200","$10,000,800",2020-07-31,/market-activity/ipos/overview?dealId=1115447-92206
1398,E.Merge Technology Acquisition Corp.,ETACU,NASDAQ Capital,10.0,"52,200,000","$522,000,000",2020-07-31,/market-activity/ipos/overview?dealId=1122265-93092
1399,Fathom Holdings Inc.,FTHM,NASDAQ Capital,10.0,"3,430,000","$34,300,000",2020-07-31,/market-activity/ipos/overview?dealId=1067931-91483
1400,Yucaipa Acquisition Corp,YAC'U,NYSE,10.0,"30,000,000","$300,000,000",2020-08-04,/market-activity/ipos/overview?dealId=1122864-93139
1401,Health Sciences Acquisitions Corp 2,HSAQ,NASDAQ Capital,10.0,"13,913,044","$139,130,440",2020-08-04,/market-activity/ipos/overview?dealId=1122845-93132
1402,"BigCommerce Holdings, Inc.",BIGC,NASDAQ Global,24.0,"9,019,565","$216,469,560",2020-08-05,/market-activity/ipos/overview?dealId=951245-93094
1403,BowX Acquisition Corp.,BOWXU,NASDAQ Capital,10.0,"42,000,000","$420,000,000",2020-08-05,/market-activity/ipos/overview?dealId=1122872-93144
1404,GO Acquisition Corp.,GOACU,NYSE,10.0,"50,000,000","$500,000,000",2020-08-05,/market-activity/ipos/overview?dealId=1121188-92958
1405,Holicity Inc.,HOLUU,NASDAQ Capital,10.0,"27,500,000","$275,000,000",2020-08-05,/market-activity/ipos/overview?dealId=1122851-93135
1406,"Rackspace Technology, Inc.",RXT,NASDAQ Global Select,21.0,"33,500,000","$703,500,000",2020-08-05,/market-activity/ipos/overview?dealId=1121969-93069
1407,"Rocket Companies, Inc.",RKT,NYSE,18.0,"100,000,000","$1,800,000,000",2020-08-06,/market-activity/ipos/overview?dealId=1121637-93037
1408,"Oak Street Health, Inc.",OSH,NYSE,21.0,"15,625,000","$328,125,000",2020-08-06,/market-activity/ipos/overview?dealId=895338-93079
1409,Kismet Acquisition One Corp,KSMTU,NASDAQ Capital,10.0,"25,000,000","$250,000,000",2020-08-06,/market-activity/ipos/overview?dealId=1123003-93165
1410,"Acutus Medical, Inc.",AFIB,NASDAQ Global Select,18.0,"8,823,529","$158,823,522",2020-08-06,/market-activity/ipos/overview?dealId=857589-93114
1411,Gores Holdings V Inc.,GRSVU,NASDAQ Capital,10.0,"47,500,000","$475,000,000",2020-08-06,/market-activity/ipos/overview?dealId=1122971-93154
1412,IBEX Ltd,IBEX,NASDAQ Global,19.0,"4,761,905","$90,476,195",2020-08-07,/market-activity/ipos/overview?dealId=1046623-93084
1413,Freeline Therapeutics Holdings plc,FRLN,NASDAQ Global Select,18.0,"8,823,529","$158,823,522",2020-08-07,/market-activity/ipos/overview?dealId=1122866-93141
1414,ARYA Sciences Acquisition Corp III,ARYA,NASDAQ Capital,10.0,"13,000,000","$130,000,000",2020-08-07,/market-activity/ipos/overview?dealId=1123085-93172
1415,"Checkmate Pharmaceuticals, Inc.",CMPI,NASDAQ Global,15.0,"5,000,000","$75,000,000",2020-08-07,/market-activity/ipos/overview?dealId=973774-93138
1416,Vistas Media Acquisition Co Inc.,VMACU,NASDAQ Capital,10.0,"10,000,000","$100,000,000",2020-08-07,/market-activity/ipos/overview?dealId=1122110-93080
1417,Fortress Value Acquisition Corp. II,FAIIU,NYSE,10.0,"30,000,000","$300,000,000",2020-08-12,/market-activity/ipos/overview?dealId=1123492-93199
1418,"Gemini Therapeutics, Inc. /DE",FSDC,NASDAQ Capital,10.0,"10,500,000","$105,000,000",2020-08-12,/market-activity/ipos/overview?dealId=1123503-93205
1419,"Kubient, Inc.",KBNT,NASDAQ Capital,5.0,"2,500,000","$12,500,000",2020-08-12,/market-activity/ipos/overview?dealId=1087006-93018
1420,KE Holdings Inc.,BEKE,NYSE,20.0,"106,000,000","$2,120,000,000",2020-08-13,/market-activity/ipos/overview?dealId=1123420-93188
1421,RedBall Acquisition Corp.,RBACU,NYSE,10.0,"50,000,000","$500,000,000",2020-08-13,/market-activity/ipos/overview?dealId=1123632-93227
1422,NetSTREIT Corp.,NTST,NYSE,18.0,"12,500,000","$225,000,000",2020-08-13,/market-activity/ipos/overview?dealId=1105537-93127
1423,Lionheart Acquisition Corp. II,LCAPU,NASDAQ Capital,10.0,"20,000,000","$200,000,000",2020-08-14,/market-activity/ipos/overview?dealId=1123614-93223
1424,Dragoneer Growth Opportunities Corp.,DGNRU,NYSE,10.0,"60,000,000","$600,000,000",2020-08-14,/market-activity/ipos/overview?dealId=1123464-93192
1425,"dMY Technology Group, Inc. II",DMYDU,NYSE,10.0,"24,000,000","$240,000,000",2020-08-14,/market-activity/ipos/overview?dealId=1120979-92936
1426,CureVac N.V.,CVAC,NASDAQ Global,16.0,"13,333,333","$213,333,328",2020-08-14,/market-activity/ipos/overview?dealId=1123448-93191
1427,"DUCK CREEK TECHNOLOGIES, INC.",DCT,NASDAQ Global Select,27.0,"15,000,000","$405,000,000",2020-08-14,/market-activity/ipos/overview?dealId=145727-93184
1428,Northern Genesis Acquisition Corp.,NGA'U,NYSE,10.0,"30,000,000","$300,000,000",2020-08-18,/market-activity/ipos/overview?dealId=1123606-93219
1429,one,AONEU,NYSE,10.0,"20,000,000","$200,000,000",2020-08-18,/market-activity/ipos/overview?dealId=1123915-93247
1430,Star Peak Energy Transition Corp.,STPKU,NYSE,10.0,"35,000,000","$350,000,000",2020-08-18,/market-activity/ipos/overview?dealId=1124069-93268
1431,Foley Trasimene Acquisition II,BFT'U,NYSE,10.0,"130,000,000","$1,300,000,000",2020-08-19,/market-activity/ipos/overview?dealId=1124100-93280
1432,"Inhibrx, Inc.",INBX,NASDAQ Global,17.0,"7,000,000","$119,000,000",2020-08-19,/market-activity/ipos/overview?dealId=1053271-93226
1433,Forum Merger III Corp,FIIIU,NASDAQ Capital,10.0,"25,000,000","$250,000,000",2020-08-19,/market-activity/ipos/overview?dealId=1123789-93241
1434,"Harmony Biosciences Holdings, Inc.",HRMY,NASDAQ Global,24.0,"5,348,837","$128,372,088",2020-08-19,/market-activity/ipos/overview?dealId=1123605-93217
1435,"Kymera Therapeutics, Inc.",KYMR,NASDAQ Global,20.0,"8,684,800","$173,696,000",2020-08-21,/market-activity/ipos/overview?dealId=1124066-93266
1436,Horizon Acquisition Corp,HZACU,NYSE,10.0,"50,000,000","$500,000,000",2020-08-21,/market-activity/ipos/overview?dealId=1124196-93296
1437,"Ouster, Inc.",CLA'U,NYSE,10.0,"20,000,000","$200,000,000",2020-08-21,/market-activity/ipos/overview?dealId=1124310-93317
1438,FAST Acquisition Corp.,FST'U,NYSE,10.0,"20,000,000","$200,000,000",2020-08-21,/market-activity/ipos/overview?dealId=1124286-93307
1439,Nano-X Imaging Ltd.,NNOX,NASDAQ Global,18.0,"9,178,744","$165,217,392",2020-08-21,/market-activity/ipos/overview?dealId=1123947-93252
1440,FTAC Olympus Acquisition Corp.,FTOCU,NASDAQ Capital,10.0,"75,000,000","$750,000,000",2020-08-26,/market-activity/ipos/overview?dealId=1124679-93360
1441,XPENG INC.,XPEV,NYSE,15.0,"99,733,334","$1,496,000,010",2020-08-27,/market-activity/ipos/overview?dealId=1124749-93369
1442,Burgundy Technology Acquisition Corp,BTAQU,NASDAQ Capital,10.0,"30,000,000","$300,000,000",2020-08-27,/market-activity/ipos/overview?dealId=1124020-93258
1443,"View, Inc.",CFIIU,NASDAQ Capital,10.0,"50,000,000","$500,000,000",2020-08-27,/market-activity/ipos/overview?dealId=1124662-93358
1444,GREENPOWER MOTOR Co INC.,GP,NASDAQ Capital,20.0,"1,860,000","$37,200,000",2020-08-28,/market-activity/ipos/overview?dealId=913614-93705
1445,"Harbor Custom Development, Inc.",HCDI,NASDAQ Capital,6.0,"1,766,700","$10,600,200",2020-08-28,/market-activity/ipos/overview?dealId=1113794-92047
1446,"Panbela Therapeutics, Inc.",SNBP,NASDAQ Capital,4.115,"2,545,454","$10,487,270",2020-08-28,/market-activity/ipos/overview?dealId=285973-93013
1447,"Applied UV, Inc.",AUVI,NASDAQ Capital,5.0,"1,000,000","$5,000,000",2020-08-31,/market-activity/ipos/overview?dealId=1122713-93122
1448,PAINREFORM LTD.,PRFX,NASDAQ Capital,8.0,"2,500,000","$20,000,000",2020-09-01,/market-activity/ipos/overview?dealId=1121191-92960
1449,"CM Life Sciences, Inc.",CMLFU,NASDAQ Capital,10.0,"38,500,000","$385,000,000",2020-09-02,/market-activity/ipos/overview?dealId=1125305-93471
1450,"MetroMile, Inc.",INAQU,NASDAQ Capital,10.0,"20,000,000","$200,000,000",2020-09-03,/market-activity/ipos/overview?dealId=1123916-93248
1451,BCTG Acquisition Corp.,BCTG,NASDAQ Capital,10.0,"14,500,000","$145,000,000",2020-09-03,/market-activity/ipos/overview?dealId=1124003-93257
1452,Tailwind Acquisition Corp.,TWNDU,NYSE,10.0,"30,000,000","$300,000,000",2020-09-04,/market-activity/ipos/overview?dealId=1125598-93704
1453,HighCape Capital Acquisition Corp.,CAPAU,NASDAQ Capital,10.0,"10,000,000","$100,000,000",2020-09-04,/market-activity/ipos/overview?dealId=1124103-93281
1454,"Industrial Tech Acquisitions, Inc.",ITACU,NASDAQ Capital,10.0,"7,500,000","$75,000,000",2020-09-09,/market-activity/ipos/overview?dealId=1124765-93374
1455,Cohn Robbins Holdings Corp.,CRHCU,NYSE,10.0,"72,000,000","$720,000,000",2020-09-09,/market-activity/ipos/overview?dealId=1124073-93273
1456,Prime Impact Acquisition I,PIAIU,NYSE,10.0,"30,000,000","$300,000,000",2020-09-10,/market-activity/ipos/overview?dealId=1125110-93436
1457,"NavSight Holdings, Inc.",NSH'U,NYSE,10.0,"20,000,000","$200,000,000",2020-09-10,/market-activity/ipos/overview?dealId=1123504-93206
1458,STARBOARD VALUE ACQUISITION CORP.,SVACU,NASDAQ Capital,10.0,"36,000,000","$360,000,000",2020-09-10,/market-activity/ipos/overview?dealId=1125505-93696
1459,TWC Tech Holdings II Corp.,TWCTU,NASDAQ Capital,10.0,"52,500,000","$525,000,000",2020-09-11,/market-activity/ipos/overview?dealId=1124281-93305
1460,"Ribbit LEAP, Ltd.",LEAPU,NYSE,10.0,"35,000,000","$350,000,000",2020-09-11,/market-activity/ipos/overview?dealId=1126222-93778
1461,Broadstone Acquisition Corp.,BSN'U,NYSE,10.0,"30,000,000","$300,000,000",2020-09-11,/market-activity/ipos/overview?dealId=1125208-93449
1462,Tortoise Acquisition Corp. II,SNPRU,NYSE,10.0,"30,000,000","$300,000,000",2020-09-11,/market-activity/ipos/overview?dealId=1126073-93748
1463,"Outset Medical, Inc.",OM,NASDAQ Global Select,27.0,"8,951,111","$241,679,997",2020-09-15,/market-activity/ipos/overview?dealId=822666-93730
1464,Software Acquisition Group Inc. II,SAIIU,NASDAQ Capital,10.0,"15,000,000","$150,000,000",2020-09-15,/market-activity/ipos/overview?dealId=1125914-93729
1465,Sandbridge Acquisition Corp,SBG'U,NYSE,10.0,"20,000,000","$200,000,000",2020-09-15,/market-activity/ipos/overview?dealId=1126122-93762
1466,"Metacrine, Inc.",MTCR,NASDAQ Global,13.0,"6,540,000","$85,020,000",2020-09-16,/market-activity/ipos/overview?dealId=962700-93756
1467,Equity Distribution Acquisition Corp.,EQD'U,NYSE,10.0,"36,000,000","$360,000,000",2020-09-16,/market-activity/ipos/overview?dealId=1126553-93813
1468,Executive Network Partnering Corp,ENPCU,NYSE,25.0,"14,400,000","$360,000,000",2020-09-16,/market-activity/ipos/overview?dealId=1126049-93747
1469,JFrog Ltd,FROG,NASDAQ Global Select,44.0,"11,568,218","$509,001,592",2020-09-16,/market-activity/ipos/overview?dealId=1126085-93750
1470,StepStone Group Inc.,STEP,NASDAQ Global Select,18.0,"17,500,000","$315,000,000",2020-09-16,/market-activity/ipos/overview?dealId=1126116-93759
1471,Snowflake Inc.,SNOW,NYSE,120.0,"28,000,000","$3,360,000,000",2020-09-16,/market-activity/ipos/overview?dealId=1020380-93754
1472,Pactiv Evergreen Inc.,PTVE,NASDAQ Global Select,14.0,"41,026,000","$574,364,000",2020-09-17,/market-activity/ipos/overview?dealId=867105-93742
1473,Oaktree Acquisition Corp. II,OACBU,NYSE,10.0,"22,500,000","$225,000,000",2020-09-17,/market-activity/ipos/overview?dealId=1126681-93850
1474,"Sumo Logic, Inc.",SUMO,NASDAQ Global Select,22.0,"14,800,000","$325,600,000",2020-09-17,/market-activity/ipos/overview?dealId=966801-93741
1475,ACON S2 Acquisition Corp.,STWOU,NASDAQ Global Select,10.0,"25,000,000","$250,000,000",2020-09-17,/market-activity/ipos/overview?dealId=1126736-93854
1476,"Dyne Therapeutics, Inc.",DYN,NASDAQ Global Select,19.0,"12,251,578","$232,779,982",2020-09-17,/market-activity/ipos/overview?dealId=1125251-93776
1477,"Broadstone Net Lease, Inc.",BNL,NYSE,17.0,"33,500,000","$569,500,000",2020-09-17,/market-activity/ipos/overview?dealId=767884-93318
1478,Reinvent Technology Partners,RTP'U,NYSE,10.0,"60,000,000","$600,000,000",2020-09-17,/market-activity/ipos/overview?dealId=1126615-93840
1479,American Well Corp,AMWL,NYSE,18.0,"41,222,222","$741,999,996",2020-09-17,/market-activity/ipos/overview?dealId=738207-93758
1480,COMPASS Pathways plc,CMPS,NASDAQ Global Select,17.0,"7,500,000","$127,500,000",2020-09-18,/market-activity/ipos/overview?dealId=1126581-93827
1481,North Mountain Merger Corp.,NMMCU,NASDAQ Capital,10.0,"11,500,000","$115,000,000",2020-09-18,/market-activity/ipos/overview?dealId=1125329-93481
1482,Unity Software Inc.,U,NYSE,52.0,"25,000,000","$1,300,000,000",2020-09-18,/market-activity/ipos/overview?dealId=1120917-93746
1483,Vitru Ltd,VTRU,NASDAQ Global Select,16.0,"6,000,000","$96,000,000",2020-09-18,/market-activity/ipos/overview?dealId=1126097-93751
1484,"Athira Pharma, Inc.",ATHA,NASDAQ Global Select,17.0,"12,000,000","$204,000,000",2020-09-18,/market-activity/ipos/overview?dealId=946228-93786
1485,Alpha Healthcare Acquisition Corp.,AHACU,NASDAQ Capital,10.0,"10,000,000","$100,000,000",2020-09-18,/market-activity/ipos/overview?dealId=1124309-93316
1486,PMV Consumer Acquisition Corp.,PMVCU,NYSE,10.0,"17,500,000","$175,000,000",2020-09-22,/market-activity/ipos/overview?dealId=1124637-93346
1487,Falcon Capital Acquisition Corp.,FCACU,NASDAQ Capital,10.0,"30,000,000","$300,000,000",2020-09-22,/market-activity/ipos/overview?dealId=1127111-93895
1488,"GoodRx Holdings, Inc.",GDRX,NASDAQ Global Select,33.0,"34,615,384","$1,142,307,672",2020-09-23,/market-activity/ipos/overview?dealId=1114942-93818
1489,BENTLEY SYSTEMS INC,BSY,NASDAQ Global Select,22.0,"10,750,000","$236,500,000",2020-09-23,/market-activity/ipos/overview?dealId=108076-93737
1490,Aspirational Consumer Lifestyle Corp.,ASPLU,NYSE,10.0,"22,500,000","$225,000,000",2020-09-23,/market-activity/ipos/overview?dealId=1127129-93896
1491,ArcLight Clean Transition Corp.,ACTCU,NASDAQ Capital,10.0,"25,000,000","$250,000,000",2020-09-23,/market-activity/ipos/overview?dealId=1127237-93918
1492,VPC Impact Acquisition Holdings,VIHAU,NASDAQ Capital,10.0,"20,000,000","$200,000,000",2020-09-23,/market-activity/ipos/overview?dealId=1127227-93915
1493,"Laird Superfood, Inc.",LSF,NYSE MKT,22.0,"2,650,000","$58,300,000",2020-09-23,/market-activity/ipos/overview?dealId=972907-93853
1494,"Corsair Gaming, Inc.",CRSR,NASDAQ Global Select,17.0,"14,000,000","$238,000,000",2020-09-23,/market-activity/ipos/overview?dealId=1126006-93738
1495,"Taysha Gene Therapies, Inc.",TSHA,NASDAQ Global Select,20.0,"7,869,566","$157,391,320",2020-09-24,/market-activity/ipos/overview?dealId=1116452-93881
1496,PERIDOT ACQUISITION CORP.,PDACU,NYSE,10.0,"30,000,000","$300,000,000",2020-09-24,/market-activity/ipos/overview?dealId=1127185-93907
1497,"PMV Pharmaceuticals, Inc.",PMVP,NASDAQ Global Select,18.0,"11,765,000","$211,770,000",2020-09-25,/market-activity/ipos/overview?dealId=1016919-93919
1498,Prelude Therapeutics Inc,PRLD,NASDAQ Global Select,19.0,"8,325,000","$158,175,000",2020-09-25,/market-activity/ipos/overview?dealId=998742-93921
1499,Vector Acquisition Corp,VACQU,NASDAQ Capital,10.0,"30,000,000","$300,000,000",2020-09-25,/market-activity/ipos/overview?dealId=1127335-93949
1500,VIA optronics AG,VIAO,NYSE,15.0,"6,250,000","$93,750,000",2020-09-25,/market-activity/ipos/overview?dealId=1127146-93902
1501,FinTech Acquisition Corp. IV,FTIVU,NASDAQ Capital,10.0,"20,000,000","$200,000,000",2020-09-25,/market-activity/ipos/overview?dealId=1127331-93948
1502,"Greenwich LifeSciences, Inc.",GLSI,NASDAQ Capital,5.75,"1,260,870","$7,250,003",2020-09-25,/market-activity/ipos/overview?dealId=1118677-92603
1503,"GRAYBUG VISION, INC.",GRAY,NASDAQ Global,16.0,"5,625,000","$90,000,000",2020-09-25,/market-activity/ipos/overview?dealId=867549-93909
1504,Amesite Inc.,AMST,NASDAQ Capital,5.0,"3,000,000","$15,000,000",2020-09-25,/market-activity/ipos/overview?dealId=1125410-93495
1505,Siyata Mobile Inc.,SYTA,NASDAQ Capital,6.0,"2,100,000","$12,600,000",2020-09-25,/market-activity/ipos/overview?dealId=972172-93745
1506,Orphazyme A/S,ORPH,NASDAQ Global Select,11.0,"7,616,146","$83,777,606",2020-09-29,/market-activity/ipos/overview?dealId=1127179-93906
1507,"Asana, Inc.",ASAN,NYSE,21.0,"30,030,516","$630,640,836",2020-09-30,/market-activity/ipos/overview?dealId=816936-93757
1508,Boqii Holding Ltd,BQ,NYSE,10.0,"7,000,000","$70,000,000",2020-09-30,/market-activity/ipos/overview?dealId=1127264-93930
1509,Vesper Healthcare Acquisition Corp.,VSPRU,NASDAQ Capital,10.0,"40,000,000","$400,000,000",2020-09-30,/market-activity/ipos/overview?dealId=1127580-93977
1510,Qell Acquisition Corp,QELLU,NASDAQ Capital,10.0,"33,000,000","$330,000,000",2020-09-30,/market-activity/ipos/overview?dealId=1127751-94000
1511,Palantir Technologies Inc.,PLTR,NYSE,7.25,"257,135,415","$1,864,231,759",2020-09-30,/market-activity/ipos/overview?dealId=668395-93775
1512,FG New America Acquisition Corp.,FGNAU,NYSE,10.0,"22,500,000","$225,000,000",2020-09-30,/market-activity/ipos/overview?dealId=1126370-93787
